artist_name,track_name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
Johann Sebastian Bach,"St. John Passion, BWV 245, Pt. 2: No. 25c, Pilatus antwortet",0,0.914,0.588,0.165,0,D,0.233,-26.286,Major,0.237,104.678,0,Classical
Pauline Oliveros,Suiren,32,0.977,0.0631,0.0026,0.84,G,0.115,-44.406,Major,0.0452,65.919,0.0234,Classical
Eric Whitacre,Lux Aurumque,46,0.986,0.0783,0.0262,0.964,C#,0.11,-28.431,Minor,0.0489,71.984,0.0241,Classical
Olivier Messiaen,La Nativité du Seigneur: 2. Les Bergers,32,0.965,0.162,0.002,0.639,G,0.106,-38.819,Major,0.0397,129.645,0.0262,Classical
György Ligeti,Ligeti : Requiem : II Kyrie,34,0.986,0.061,0.207,0.918,G,0.108,-19.225,Minor,0.0437,67.312,0.0268,Classical
Gustav Holst,"The Planets, Op. 32, H. 125: VII. Neptune, the Mystic",27,0.981,0.066,0.0202,0.961,E,0.0722,-36.105,Major,0.0381,69.79,0.0269,Classical
Ola Gjeilo,"Sunrise Mass: The Spheres, ""Kyrie eleison""",33,0.993,0.0935,0.0535,0.65,C#,0.0765,-28.887,Minor,0.0426,87.11,0.0272,Classical
Olivier Messiaen,La Nativité du Seigneur: 7. Jésus accepte la Souffrance,31,0.879,0.0813,0.0591,0.944,F,0.107,-18.679,Major,0.037,83.772,0.0273,Classical
Eric Whitacre,Deep Field - Complete Version,33,0.701,0.0616,0.118,0.897,D#,0.163,-19.31,Minor,0.0499,52.753,0.0274,Classical
Ola Gjeilo,The Spheres,34,0.937,0.122,0.0571,0.946,C,0.107,-20.237,Minor,0.038,86.211,0.0277,Classical
Morton Feldman,Rothko Chapel 5,35,0.98,0.168,0.002,0.957,A,0.104,-40.147,Minor,0.0493,69.344,0.0279,Classical
