track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
A Big Day In The North,0.0018,0.606,0.813,0.0094,0.108,-8.606,0.0492,101.241,0.562
A Bit of Soul - 2005 Remaster,0.88,0.562,0.347,0.0709,0.136,-9.546,0.0411,142.312,0.48
A Bitch Iz A Bitch,0.0362,0.889,0.557,0,0.332,-8.148,0.352,97.176,0.805
A Blue Mood,0.794,0.631,0.215,0.0234,0.103,-17.582,0.0302,97.865,0.517
A Boy's Best Friend,0.292,0.376,0.368,0.0005,0.127,-10.521,0.0317,74.433,0.107
A Broken Wing,0.25,0.349,0.51,0,0.321,-5.719,0.0451,66.624,0.203
A Bunch of Questions,0.0183,0.544,0.784,0.0172,0.266,-5.031,0.0615,168.364,0.462
A Buncha Girls,0.0168,0.598,0.883,0,0.0918,-3.677,0.0347,120.891,0.764
A Case For Shame - feat. Cold Specks,0.736,0.426,0.418,0.0257,0.0608,-11.657,0.0357,143.719,0.0785
A Cell Divides,0.008,0.309,0.737,0.0008,0.288,-6.234,0.0406,139.727,0.321
A Change Is Gonna Come,0.76,0.212,0.42,0,0.307,-9.919,0.0344,169.555,0.493
A Day In The Life - Remastered 2009,0.29,0.364,0.457,0.0001,0.922,-14.162,0.0675,163.219,0.175
A Different Age,0.637,0.627,0.371,0.0643,0.0759,-10.621,0.0269,143.935,0.361
A Different Way - Kayzo Remix,0.0007,0.632,0.93,0.0004,0.174,-4.553,0.226,145.035,0.251
A Different World,0.0299,0.565,0.809,0.528,0.0919,-5.956,0.121,128.088,0.0593
A Different World,0.0407,0.617,0.688,0,0.0859,-4.959,0.0279,128.968,0.442
A Dustland Fairytale,0.0436,0.429,0.841,0,0.0976,-6.501,0.0553,134.37,0.33
A Favor House Atlantic,0.0007,0.294,0.97,0,0.123,-4.942,0.265,166.475,0.144
A Favor House Atlantic,0.0007,0.294,0.97,0,0.123,-4.942,0.265,166.475,0.144
A Fine Romance,0.616,0.465,0.447,0,0.0869,-11.807,0.143,173.109,0.75
A Fix on You,0.0352,0.429,0.799,0.0003,0.0868,-5.351,0.0361,153.715,0.7
A Forest,0.0675,0.547,0.546,0.645,0.115,-11.179,0.142,123.995,0.103
A Forest - Remastered Version,0.34,0.633,0.62,0.605,0.0977,-11.271,0.0648,81.117,0.421
A Girl Named Drool And A Pack of Kools,0.284,0.583,0.491,0.0003,0.153,-9.79,0.0378,127.979,0.3
A Good Run of Bad Luck,0.218,0.634,0.727,0.0074,0.121,-10.867,0.0418,80.057,0.684
A Guide for I & I,0.22,0.652,0.488,0.917,0.0628,-12.588,0.0311,111.978,0.201
A Hard Day's Night,0.396,0.598,0.368,0.0161,0.108,-10.48,0.0362,136.506,0.643
A Kiss to Build a Dream On,0.965,0.47,0.109,0.0002,0.122,-18.386,0.0377,86.839,0.22
A Knife in the Dark,0.9,0.119,0.369,0.784,0.14,-15.537,0.0529,75.039,0.0431
A LIGHT THAT NEVER COMES,0.0023,0.687,0.871,0.0071,0.134,-5.531,0.0689,115,0.539
A Lil Bit Of,0.684,0.742,0.414,0.0026,0.0921,-9.86,0.11,81.172,0.593
A Little Pain - Recorded at Sound Stage Nashville,0.442,0.446,0.569,0.0001,0.193,-6.999,0.0363,170.915,0.435
A Long Way,0.0194,0.483,0.713,0.0002,0.316,-5.027,0.0295,161.905,0.594
A Love Like This,0.0249,0.65,0.856,0,0.109,-4.351,0.0397,125.992,0.462
A Love Like This,0.0249,0.65,0.856,0,0.109,-4.351,0.0397,125.992,0.462
a lover's wishlist,0.867,0.71,0.472,0.0005,0.147,-8.059,0.132,86.819,0.501
A Man On A Tractor,0.0177,0.578,0.799,0,0.258,-3.811,0.0511,128.16,0.597
A Man Who Was Gonna Die Young,0.951,0.498,0.0969,0,0.105,-16.482,0.0435,144.077,0.39
A Martyr For My Love For You,0.0924,0.35,0.449,0.0803,0.0866,-7.762,0.0403,84.036,0.188
A Million and One Things To Do - Instrumental,0.0065,0.746,0.517,0.945,0.063,-6.384,0.0519,93.905,0.929
A Million Miles Away,0.0083,0.498,0.654,0.006,0.417,-10.398,0.0381,135.805,0.608
A Million Times (feat. O.T. Genasis),0.0761,0.738,0.519,0,0.092,-5.403,0.185,96.061,0.61
A Million Times (feat. O.T. Genasis),0.0761,0.738,0.519,0,0.092,-5.403,0.185,96.061,0.61
A New,0.0109,0.402,0.826,0.0008,0.0945,-7.105,0.0553,172.85,0.0476
A New Generation,0.856,0.115,0.0599,0.932,0.114,-21.557,0.0394,184.266,0.0358
A New Life,0.195,0.327,0.867,0.143,0.0957,-5.325,0.046,159.336,0.701
A Night To Remember,0.0249,0.706,0.502,0.0559,0.0804,-7.502,0.0562,112.435,0.785
A Pile Of Dust,0.853,0.105,0.079,0.882,0.132,-18.03,0.0479,81.056,0.0348
A Queen's Intro,0.0516,0.501,0.397,0.002,0.348,-13.597,0.278,163.246,0.563
A Quiet Life,0.632,0.785,0.4,0.659,0.142,-9.951,0.431,70.969,0.275
A Remark You Made,0.611,0.405,0.176,0.15,0.0562,-15.245,0.0312,104.527,0.153
A Sailboat In the Moonlight,0.897,0.816,0.257,0,0.0927,-10.849,0.0829,120.414,0.78
A Slow Hot Wind,0.809,0.621,0.155,0.0748,0.0909,-19.774,0.0298,93.024,0.429
"A Somerset Rhapsody, Op. 21, No. 2",0.955,0.162,0.0359,0.958,0.102,-21.576,0.0365,98.089,0.0423
A Song for Everything,0.159,0.578,0.569,0,0.105,-7.862,0.0356,100.038,0.187
A Song For Jeffrey - Original Mono Mix,0.0782,0.525,0.524,0.341,0.094,-14.478,0.0961,93.431,0.858
A Spacetime Singularity,0.932,0.217,0.104,0.909,0.0846,-22.45,0.0414,69.082,0.0287
A Sparrow Alighted Upon Our Shoulder,0.938,0.187,0.109,0.867,0.124,-21.143,0.048,139.128,0.0501
A Stutter,0.986,0.236,0.047,0.88,0.0928,-23.311,0.0374,108.211,0.093
A Sunday Kind Of Love,0.87,0.385,0.281,0,0.267,-9.567,0.0287,81.416,0.47
A Thing For Me,0.161,0.636,0.551,0,0.326,-2.805,0.0768,74.977,0.607
A Thousand Kisses Deep,0.875,0.352,0.0864,0.919,0.0942,-17.215,0.0301,72.937,0.158
A Time For The Fear (Who's Afraid),0.928,0.713,0.889,0.921,0.0617,-13.579,0.0954,100.613,0.0971
A Touch Of Silver,0.845,0.515,0.519,0.696,0.102,-9.631,0.0391,128.346,0.35
A Violent Sky,0.784,0.471,0.608,0.457,0.121,-10.954,0.0446,97.382,0.0378
A Well Respected Man,0.297,0.53,0.873,0,0.0521,-5.105,0.118,162.154,0.583
