artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Getter,Rip N Dip,0.001,0.78,0.998,0.89,0.351,-1.467,0.271,112.546,0.0314
Jon Hopkins,Everything Connected - Stephan Hinz Remix,0.0002,0.595,0.942,0.72,0.318,-11.22,0.0416,130.013,0.0333
Bassnectar,After Thought,0.0253,0.379,0.792,0.836,0.649,-7.988,0.0885,179.982,0.0339
Loscil,Anthropocene,0.785,0.52,0.298,0.947,0.11,-24.263,0.0431,115.986,0.034
Bonobo,Know You - Live,0.012,0.595,0.789,0.935,0.16,-7.869,0.0321,130.007,0.0347
Kerala Dust,Medea,0.591,0.826,0.303,0.496,0.152,-15.485,0.0603,108.016,0.035
David Hohme,Ascent,0.0062,0.685,0.63,0.949,0.0684,-13.245,0.0488,120.015,0.0355
Sasha,Singularity - BAILE Remix,0.106,0.611,0.546,0.862,0.0758,-10.935,0.032,124.023,0.0355
Subtronics,Ocean Lab,0.0956,0.72,0.985,0.0143,0.435,-0.745,0.5,75.014,0.0356
DJ Shadow,Depth Charge,0.0111,0.355,0.674,0.919,0.0901,-9.093,0.0513,90.954,0.0356
Björk,Hyper-Ballad - Family Tree Version,0.0216,0.519,0.437,0.001,0.375,-12.97,0.0325,134.933,0.0356
Seven Lions,The Sirens,0.0138,0.581,0.825,0.682,0.097,-5.391,0.0401,108.777,0.0357
Polynation,Dew,0.168,0.493,0.804,0.924,0.0608,-8.645,0.0299,93.988,0.0358
Lights & Motion,Bloom,0.897,0.0645,0.216,0.945,0.0674,-16.934,0.0386,67.171,0.0359
Christian Löffler,York - Original Mix,0.157,0.696,0.634,0.887,0.129,-12.063,0.0403,118.035,0.0359
Pink Floyd,Welcome to the Machine,0.52,0.382,0.36,0.171,0.0747,-12.442,0.0365,133.273,0.0362
Seven Lions,After Dark (feat. Fiora) - Wooli & SampliFire Remix,0.05,0.218,0.831,0.242,0.0972,-3.986,0.222,74.949,0.0365
Amon Tobin,Bloodstone,0.278,0.223,0.365,0.424,0.142,-10.265,0.0337,124.304,0.0365
WAVEDASH,Deathwish (feat. fknsyd),0.0053,0.446,0.992,0.0009,0.451,-3.312,0.299,149.898,0.0367
Tory Lanez,In For It,0.0765,0.382,0.522,0.0002,0.108,-7.823,0.0858,105.986,0.037
Excision,Sleepless - Loadstar Remix,0.0001,0.471,0.831,0.525,0.235,-3.108,0.037,174.016,0.037
Moderat,This Time,0.303,0.27,0.335,0.927,0.0876,-12.098,0.034,115.023,0.0375
Slayer,Raining Blood,0.0005,0.295,0.995,0.36,0.127,-4.423,0.2,110.25,0.0376
Jónsi,Boy 1904,0.982,0.183,0.245,0.974,0.417,-17.934,0.039,123.139,0.0376
Archive,Controlling Crowds,0.192,0.532,0.588,0.126,0.218,-11.457,0.0313,98.001,0.0377
mysticphonk,Cut Myself,0.0193,0.54,0.465,0.289,0.0977,-11.717,0.0577,119.965,0.0381
Andy Stott,Violence,0.0513,0.356,0.214,0.0161,0.113,-13.215,0.0431,139.957,0.0382
Jordan Comolli,Alone,0.0011,0.748,0.626,0.885,0.13,-7.079,0.0398,110.025,0.0383
Majid Jordan,My Imagination (feat. dvsn),0.0186,0.695,0.545,0.128,0.104,-10.836,0.0506,129.001,0.0387
The Prodigy,Give Me a Signal (feat. Barns Courtney),0.0832,0.351,0.941,0.0038,0.12,-6.466,0.228,128.023,0.0389
Unders,Collecting Stories,0.0007,0.67,0.762,0.882,0.147,-11.474,0.0389,118.995,0.0391
David Hohme,Without Doubt - Rodriguez Jr. Remix,0.0658,0.653,0.595,0.904,0.111,-10.291,0.0336,123.999,0.0391
Bonobo,Migration,0.763,0.561,0.565,0.948,0.166,-12.374,0.0373,122.072,0.0392
Machine Gun Kelly,Young Man,0.0573,0.84,0.344,0.313,0.0845,-8.75,0.0818,109.988,0.0393
FC Kahuna,Hayling,0.532,0.56,0.305,0.0078,0.665,-9.369,0.0278,139.953,0.0393
3LAU,Arcana,0.0027,0.483,0.898,0.944,0.136,-5.623,0.0406,149.991,0.0393
Flying Lotus,Phantasm,0.705,0.406,0.74,0.82,0.174,-8.395,0.0848,62.732,0.0394
Kelsey Lu,Due West - Skrillex Remix,0.17,0.713,0.639,0.002,0.352,-8.404,0.0448,103.986,0.0394
Moderat,No. 22,0.0391,0.614,0.531,0.826,0.267,-13.331,0.0518,138.045,0.0394
Datsik,Firepower,0.0007,0.467,0.83,0.0172,0.406,-5.197,0.0574,140.028,0.0394
Thom Yorke,An Audition,0.0147,0.198,0.397,0.513,0.121,-13.971,0.0429,86.788,0.0395
Hooverphonic,Someone,0.109,0.497,0.473,0.927,0.306,-9.488,0.031,124.788,0.0395
Champagne Drip,Of Course I Still Love You,0.0127,0.488,0.65,0.0121,0.0661,-6.163,0.0564,140,0.0395
Rae Sremmurd,CLOSE (feat. Travis Scott) - From SR3MM,0.104,0.691,0.736,0,0.111,-4.993,0.0321,140.034,0.0395
Liquid Stranger,Swollen Beasts,0.0387,0.473,0.578,0.52,0.113,-8.305,0.0659,111.902,0.0396
Tangerine Dream,Cloudburst Flight - 1995 Remaster,0.0699,0.389,0.575,0.804,0.0755,-10.567,0.0377,138.369,0.0397
Virtual Riot,Disintegrate,0.0292,0.619,0.721,0.892,0.208,-8.299,0.0558,140.114,0.0397
Daft Punk,End of Line,0.0005,0.354,0.449,0.778,0.344,-11.353,0.03,195.983,0.0397
Hammock,Maybe They Will Sing for Us Tomorrow,0.685,0.114,0.241,0.916,0.0501,-15.954,0.0462,77.945,0.0398
Balmorhea,Sky Could Undress,0.861,0.422,0.204,0.931,0.105,-16.071,0.0318,146.612,0.0398
Machine Gun Kelly,SIGNS (Feat. 24hrs),0.0251,0.823,0.513,0,0.0979,-6.382,0.0414,104.992,0.04
Night Lovell,PINK WITCH / LESSON,0.0446,0.599,0.509,0.0037,0.146,-5.895,0.148,134.966,0.04
Kelsey Lu,I'm Not In Love,0.588,0.191,0.441,0.0993,0.11,-13.191,0.0751,86.073,0.0409
Virtual Riot,Borg,0.0133,0.569,0.96,0.0014,0.0734,-4.513,0.296,75.016,0.0413
Dubloadz,Salt,0.0533,0.614,0.631,0.0042,0.175,-4.155,0.0876,149.487,0.0424
Snails,Forever - FuntCase Remix,0.0134,0.312,0.981,0.0619,0.289,-2.788,0.38,149.6,0.043
Snails,Forever - Funtcase Remix,0.0134,0.312,0.981,0.0619,0.289,-2.788,0.38,149.6,0.043
Lifehouse,Everything,0.102,0.307,0.407,0.0571,0.103,-8.25,0.028,90.255,0.0433
Brillz,Callisto,0.0493,0.416,0.823,0.0141,0.0592,-6.464,0.065,104.807,0.0449
Chevelle,Family System,0.0022,0.428,0.923,0.496,0.105,-4.121,0.162,140.224,0.0469
Eminem,Phenomenal,0.153,0.64,0.841,0,0.0457,-2.426,0.0466,121.075,0.0471
Moby,The Sorrow Tree - Post Hominum Remix,0.0002,0.442,0.735,0.162,0.098,-4.806,0.0349,117.986,0.0474
Little Dragon,A New,0.0109,0.402,0.826,0.0008,0.0945,-7.105,0.0553,172.85,0.0476
Jauz,Alpha [LAXX Remix],0.022,0.546,0.909,0.0001,0.345,-3.354,0.362,150.003,0.0483
